Code_Entite;Nom_Entite;Code_Parent;Annee;GES_Agriculture;GES_Industrie;GES_Résidentiel;GES_Tertiaire;GES_Transports;CONSO_Residentiel;CONSO_Tertiaire;puissance_enr_hydro;puissance_enr_photo;puissance_enr_eolien;prod_enr_thermique_bois_energie;prod_enr_thermique_PAC;prod_enr_thermique_Incinerateurs;prod_enr_thermique_Biogaz;prod_enr_thermique_Solaire_thermique;chaleur_renouvelable;amenagements_cyclable;pourcentageVPelectrique;tonnage_dechets_enfouis;part_dechets_recycles;nbre_recycleries;canaux;eau_potable;industrie;irrigation;Conso_ENAF;Osmo_previ;Osmo_ini;Osmo_enga;Osmo_ter;Osmo_aban;aires_protegees
15;Cantal;;2022;1.116803853;0.090986762;0.152317332;0.051412936;0.32042356;1.226209265;0.457067551;0.4491216;0.1866924;0.117;0.457998239;0.151223921;0;0.000582448;0.005796179;0.085967928;175.948;0.846977362417698;37942.11;52.0916825571753;4;;;;;65.7079;;;;;;0.05
15;Cantal;;2023;1.120075318;0.088834707;0.140011669;0.051267675;0.328439281;1.159100371;0.44516199;0.4496126;0.2126791;0.11324;0.454023554;0.171790829;0;0.001726186;0.005868032;0.087096208;176.23;1.2233509801116;33303.77;57.9440078835249;4;;;;;63.6537;;;;;;0.05
15;Cantal;;2024;1.114389936;0.095374407;0.137688747;0.047606508;0.325139058;1.125982238;0.427514004;0.450187;0.2612873;0.1138;0.475481035;0.186340631;0;0.001214948;0.005868032;0.0950447;179.72;1.66176321395962;;;;;;;;;4;61;5;3;1;0.05
15;Cantal;;2025;;;;;;;;;;;;;;;;;203.079;;;;;;;;;;4;59;4;6;1;0.05
15;Cantal;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cantal;;2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cantal;;2028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cantal;;2029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cantal;;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Drôme;;2015;0.393724956;0.877623444;0.49696009;0.361962562;1.789791162;3.675790743;1.837146738;0.966101;0.0897294;0.07779;0.898259011;0.155915121;0;0.096863065;0.017388314;0.135318125;;0.125634134317202;;;6;39.946601;47.401028;18.678471;108.736461;172.1983;;;;;;
26;Drôme;;2016;0.398467746;0.848029972;0.450084127;0.337508291;1.819490009;3.524833955;1.771768915;0.966197;0.1019446;0.09179;0.95749461;0.171607;0;0.10330269;0.01863615;0.154791963;;0.184673072416217;;;7;29.83147;45.460912;16.415499;79.477411;225.4907;;;;;;
26;Drôme;;2017;0.388557687;0.836594379;0.448228878;0.337730493;1.824873894;3.551077628;1.807954042;0.972797;0.1151813;0.09179;0.949938424;0.189443915;0;0.103389971;0.018668473;0.147543455;;0.255247174598293;;;9;32.970056;46.127576;16.904519;96.246579;183.4079;;;;;;
26;Drôme;;2018;0.379406313;0.911613811;0.454830865;0.336768536;1.808165861;3.63614739;1.83874635;0.976167;0.1396282;0.139445;0.855814478;0.211934618;0;0.104765378;0.01837661;0.135593389;;0.316886990215312;;;10;43.897278;45.911614;17.063671;83.202918;188.7723;;;;;;
26;Drôme;;2019;0.373388626;0.872350528;0.439602766;0.322328484;1.852085781;3.52534734;1.829414073;0.975127;0.1634187;0.139445;0.881109874;0.240228259;0;0.103308952;0.018931076;0.129029162;;0.39752112401685;119323.41;61.9303549207401;10;42.779268;44.885348;17.226793;93.717467;218.0779;;;;;;
26;Drôme;;2020;0.377288191;0.984837562;0.439645691;0.283347681;1.553097524;3.595175269;1.724128396;0.973466;0.187766;0.150995;0.808301167;0.271856222;0;0.089715437;0.019010286;0.124326847;;0.697703229861336;100702.1;67.2369374742553;10;40.097751;44.816341;23.315123;94.334044;349.8096;;;;;;1.43
26;Drôme;;2021;0.373020124;1.02302053;0.407559372;0.234827357;1.791796192;3.490024053;1.666504953;0.973543;0.2310555;0.150995;0.950203105;0.306922518;0;0.103762501;0.019406333;0.143650142;;1.09475544094648;118502.43;64.0305049172897;10;30.86228;43.673929;22.317905;54.647875;285.8701;;;;;;1.58
26;Drôme;;2022;0.370226856;0.973322468;0.368388513;0.224650919;1.849821988;3.358602625;1.690358937;0.975124;0.2863532;0.150995;0.821673174;0.349814361;0;0.091982219;0.019168705;0.119605847;926.701;1.59478479887399;112176.73;63.2058211933548;10;;;;;298.1737;;;;;;1.77
26;Drôme;;2023;0.374177461;0.909641418;0.342687046;0.214182284;1.833989232;3.157902598;1.536626167;0.975314;0.3262135;0.15105;1.180005978;0.397390166;0;0.094661166;0.019406333;0.13007115;947.557;2.27171284289386;111012.85;63.1265784504696;10;;;;;256.0476;;;;;;1.84
26;Drôme;;2024;0.374082815;0.771134185;0.348180953;0.207024602;1.840479991;3.159329557;1.547829221;0.975514;0.396577;0.142118;1.212367472;0.431047074;0;0.092318716;0.019406333;0.09604694;1200.445;2.91804504789575;;;;;;;;;4;42;7;7;1;1.87
26;Drôme;;2025;;;;;;;;;;;;;;;;;1350.87;;;;;;;;;;1;42;8;9;1;1.89
26;Drôme;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Drôme;;2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Drôme;;2028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Drôme;;2029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Drôme;;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Isère;;2015;0.619783282;3.437477045;1.192592816;0.864504723;2.851686188;8.814026184;4.70771073;3.784226;0.0630161;0.0027;2.164784603;0.286228582;0.481551858;0.019874102;0.036569094;0.273155311;;0.101231231771118;;;12;21.723786;111.51293;214.104937;66.533679;347.0445;;;;;;
38;Isère;;2016;0.628167097;3.099609819;1.095903284;0.820770983;2.90396936;8.573276695;4.641876598;3.784286;0.0648654;0.0027;2.278775005;0.314180129;0.545196763;0.01619637;0.038946338;0.316764114;;0.164175848150976;;;14;20.726723;107.029685;209.22155;66.091274;392.2489;;;;;;
38;Isère;;2017;0.617341993;2.961503596;1.093591215;0.803606683;2.908414895;8.600042255;4.64673493;3.792696;0.0678556;0.0027;2.340719785;0.346263851;0.54414684;0.01007058;0.039099358;0.336542302;;0.244791280742053;;;16;21.208387;109.413964;202.944845;86.570125;414.6075;;;;;;
38;Isère;;2018;0.601150141;2.996704077;1.126153036;0.795953087;2.879945683;8.824577737;4.788153013;3.80244;0.0951017;0.0027;2.093821024;0.386432104;0.415050328;0.008990218;0.038326011;0.303381201;;0.320496950929843;;;16;33.787956;106.873726;185.988614;78.978566;562.6794;;;;;;
38;Isère;;2019;0.593737423;3.145187208;1.080899351;0.752298084;2.939609856;8.616849658;4.587656601;3.821195;0.1034719;0.0027;2.272718078;0.438021463;0.503232168;0.024166431;0.039482399;0.344268375;;0.420835202159276;93788.11;84.7177153322527;16;31.550852;110.209482;216.016543;78.750475;371.1172;;;;;;
38;Isère;;2020;0.591694453;3.086129089;1.070012986;0.669034327;2.415366014;8.800216626;4.246664967;3.829557;0.1187354;0.0027;2.073480624;0.495690475;0.460745642;0.01965499;0.039647598;0.279341034;;0.718697524618734;79460.29;85.9194245701272;16;33.678551;110.587035;192.661141;99.075357;440.0332;;;;;;6.83
